Tract ID,Estimate Year,Total population,Under 18 years,Median age (years),18 years and over,Sex
4058,2020,"1,865",330,39.2,"1,535",1
4058,2020,"2,066",379,33.5,"1,687",0
4059.01,2020,"4,230","1,055",31.3,"3,175",2
4059.01,2020,"2,152",528,37.8,"1,624",1
4059.01,2020,"2,078",527,28.9,"1,551",0
4059.02,2020,"3,129",590,33.8,"2,539",2
4059.02,2020,"1,439",258,34.8,"1,181",1
4059.02,2020,"1,690",332,32.6,"1,358",0
4060,2020,"3,890",644,42.5,"3,246",2
4060,2020,"1,609",194,44.4,"1,415",1
4060,2020,"2,281",450,42.2,"1,831",0
4052,2021,"4,936",726,38.6,"4,210",2
4052,2021,"2,375",338,40.6,"2,037",1
4052,2021,"2,561",388,37.0,"2,173",0
4053.01,2021,"2,988",363,35.6,"2,625",2
4053.01,2021,"1,478",181,33.5,"1,297",1
4053.01,2021,"1,510",182,36.0,"1,328",0
4053.02,2021,"2,457",113,38.1,"2,344",2
4053.02,2021,"1,318",57,34.3,"1,261",1
4053.02,2021,"1,139",56,42.5,"1,083",0
4054.01,2021,"3,583",441,37.7,"3,142",2
4054.01,2021,"1,771",199,37.8,"1,572",1
4054.01,2021,"1,812",242,37.7,"1,570",0
4054.02,2021,"3,492",556,35.3,"2,936",2
4054.02,2021,"1,509",218,36.3,"1,291",1
4054.02,2021,"1,983",338,32.0,"1,645",0
4055,2021,"3,644",398,37.5,"3,246",2
4055,2021,"1,755",203,37.5,"1,552",1
4055,2021,"1,889",195,37.5,"1,694",0
4056,2021,"3,184",352,37.6,"2,832",2
4056,2021,"1,524",201,35.7,"1,323",1
4056,2021,"1,660",151,40.6,"1,509",0
4057,2021,"3,722",605,35.8,"3,117",2
4057,2021,"1,845",401,35.8,"1,444",1
4057,2021,"1,877",204,35.9,"1,673",0
4058,2021,"4,157",810,37.0,"3,347",2
4058,2021,"1,899",443,37.1,"1,456",1
4058,2021,"2,258",367,36.9,"1,891",0
4059.01,2021,"4,175","1,038",32.4,"3,137",2
4059.01,2021,"2,090",421,40.3,"1,669",1
4059.01,2021,"2,085",617,28.7,"1,468",0
4059.02,2021,"3,063",621,36.5,"2,442",2
4059.02,2021,"1,516",298,39.5,"1,218",1
4059.02,2021,"1,547",323,34.0,"1,224",0
4060,2021,"4,288",776,42.4,"3,512",2
4060,2021,"1,925",298,44.1,"1,627",1
4060,2021,"2,363",478,40.8,"1,885",0
4052,2022,"4,913",697,39.7,"4,216",2
4052,2022,"2,521",365,43.9,"2,156",1
4052,2022,"2,392",332,37.3,"2,060",0
4053.01,2022,"2,872",320,35.6,"2,552",2
4053.01,2022,"1,471",145,33.9,"1,326",1
4053.01,2022,"1,401",175,35.8,"1,226",0
4053.02,2022,"2,559",98,38.1,"2,461",2
4053.02,2022,"1,361",46,35.0,"1,315",1
4053.02,2022,"1,198",52,42.9,"1,146",0
4054.01,2022,"3,541",395,36.4,"3,146",2
4054.01,2022,"1,825",200,35.9,"1,625",1
4054.01,2022,"1,716",195,37.2,"1,521",0
4054.02,2022,"3,673",615,37.1,"3,058",2
4054.02,2022,"1,602",229,38.3,"1,373",1
4054.02,2022,"2,071",386,36.1,"1,685",0
4055,2022,"3,537",436,38.1,"3,101",2
4055,2022,"1,804",280,37.4,"1,524",1
4055,2022,"1,733",156,39.8,"1,577",0
4056,2022,"3,044",384,37.6,"2,660",2
4056,2022,"1,338",190,36.1,"1,148",1
4056,2022,"1,706",194,38.8,"1,512",0
4057,2022,"3,522",624,35.6,"2,898",2
4057,2022,"1,785",396,36.1,"1,389",1
4057,2022,"1,737",228,34.5,"1,509",0
4058,2022,"4,182",983,36.3,"3,199",2
4058,2022,"2,247",597,34.5,"1,650",1
4058,2022,"1,935",386,37.7,"1,549",0
4059.01,2022,"3,757","1,070",33.7,"2,687",2
4059.01,2022,"1,847",466,38.8,"1,381",1
4059.01,2022,"1,910",604,31.2,"1,306",0
4059.02,2022,"3,138",626,35.3,"2,512",2
4059.02,2022,"1,609",307,35.6,"1,302",1
4059.02,2022,"1,529",319,34.2,"1,210",0
4060,2022,"4,735",814,43.8,"3,921",2
4060,2022,"2,081",296,45.6,"1,785",1
4060,2022,"2,654",518,42.3,"2,136",0
